N°AUTO;NOM ETABLISSEMENT;ECRANS;FAUTEUILS;CODE COMMUNE;COMMUNE;GENRE;ART ET ESSAI;ECRANS 3D
67324;CASINO DE BOURBONNE;1;150;52060;Bourbonne-les-Bains;FIXE;NON;NON
68025;LE CINEMA;1;110;18033;Bourges;FIXE;OUI;NON
68046;MEGA CGR;12;2 620;18033;Bourges;FIXE;NON;OUI
68371;LE TRIANON;1;318;53039;Le Bourgneuf-la-Forêt;FIXE;OUI;NON
68561;FAMILIA;1;224;37031;Bourgueil;FIXE;OUI;NON
68562;ABBAYE DE BOURGUEIL;1;380;37031;Bourgueil;FIXE;NON;NON
71942;LA BOBINE;2;293;35037;Bréal-sous-Montfort;FIXE;OUI;OUI
73021;CELTIC;8;1 727;29019;Brest;FIXE;NON;OUI
73083;CINE LIBERTE;15;2 805;29019;Brest;FIXE;NON;OUI
73098;OCEANOPOLIS;1;267;29019;Brest;FIXE;NON;OUI
73099;LES STUDIOS;7;757;29019;Brest;FIXE;OUI;OUI
73582;NORMANDY;1;190;14100;Bretteville-sur-Laize;FIXE;NON;NON
74471;LE DONJON;1;203;50082;Bricquebec-en-Cotentin;FIXE;OUI;OUI
77732;CENTRE CULTUREL DU GRAND LOGIS;1;322;35047;Bruz;FIXE;NON;NON
77733;CINEVILLE;6;991;35047;Bruz;FIXE;NON;OUI
80572;CENTRE CULTUREL;1;210;36031;Buzançais;FIXE;OUI;OUI
80981;LE NORMANDIE;2;238;14117;Cabourg;FIXE;OUI;OUI
81414;SALLE PIERRE DAURE;1;768;14118;Caen;FIXE;NON;NON
81451;CINEMA LUX;3;477;14118;Caen;FIXE;OUI;OUI
81456;PATHE;10;1 870;14118;Caen;FIXE;NON;OUI
82392;CINEMA D ARGOAT;1;148;22025;Callac;FIXE;OUI;OUI
82762;ROCAMADOUR;1;200;29022;Camaret-sur-Mer;FIXE;OUI;OUI
83601;VICTORIA;1;500;44025;Campbon;FIXE;OUI;OUI
84292;DUGUESCLIN;1;228;35049;Cancale;FIXE;OUI;OUI
84382;CINEMA LE BEAULIEU;1;142;49054;Candé;FIXE;NON;NON
84981;ESPACE CULTUREL FRANCOIS MITTERRAND;1;170;76157;Canteleu;FIXE;NON;NON
85902;ETOILE;1;161;29023;Carantec;FIXE;OUI;OUI
86313;LE COTENTIN;2;316;50099;Carentan les Marais;FIXE;NON;OUI
86353;LE GRAND BLEU;1;215;29024;Carhaix-Plouguer;FIXE;OUI;OUI
86561;REX;2;422;56034;Carnac;FIXE;OUI;OUI
86832;THEATRE DE DION;1;768;44026;Carquefou;FIXE;NON;OUI
89481;LE PARIS;1;386;76164;Rives-en-Seine;FIXE;OUI;OUI
93201;LE SEVIGNE;1;293;35051;Cesson-Sévigné;FIXE;OUI;OUI
94711;FAMILIAL;1;393;52093;Chalindrey;FIXE;NON;NON
94922;ESPACE CINE;1;274;49063;Chalonnes-sur-Loire;FIXE;OUI;OUI
